Curso,Sexo,¿Quién es Richard Stallman?,¿Sabes qué características tiene el software libre?,¿Debe ser el software libre siempre gratuito?,¿Puedo proteger mi trabajo con alguna licencia y que siga siendo software libre?,¿Conoces alguna licencia de software?,¿Cuáles?,¿Liberarías tu código con una licencia Creative Commons?,Marca cuáles de los siguientes programas crees que tienen una licencia libre,¿Qué es el copyright?,¿Qué es el copyleft?,¿Cúal se aplica por defecto ante ausencia de licencia de una obra?,¿Cuántos años dura el copyright en España?,¿Qué ocurre pasado ese tiempo con la obra?,¿Conoces GitHub?,¿Has subido algún proyecto a GitHub?,¿Qué significa hacer un fork de un proyecto?
3,M,"Un físico. Creador de GNU / Linux, Emacs, compiladores.",Sí,No,Sí,Sí,"CC, MIT","No, viva el software privado","Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,"Copiar un repositorio para poder hacer cambios locales, pushear los cambios y luego mandar un pull request al repositorio original, o simplemente poder trabajar sobre tu copia"
3,M,Creador de GNU,Debe cumplir las 4 leyes,No,Sí,Sí,CC,"Sí, siempre es recomendable aparecer como autor de tu código y que se haga mención a tus trabajos",Eclipse,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,Copiar un repositorio de GitHub para realizar tus propias contribuciones
3,M,Hace cosas en GNU,"Código abierto, licencia GNU o similar, libre de ser distribuido o modificado",No,Sí,Sí,"CC, GNU","Sí, considero que la base del progreso tecnológico y social debe ser la colaboración","uTorrent, Mozilla Firefox, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,"Hacer una ramificación para abrir un nuevo camino de desarrollo, generando una versión modificada"
3,F,NS/NC,Se ve como está implementado todo,Sí,Sí,No,,NS/NC,uTorrent,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
4,M,NS/NC,Gratis,Sí,No,No,,NS/NC,"uTorrent, Eclipse, Mozilla Firefox",No se puede copiar ni descargar,NS/NC,Copyright,Para siempre,Pasa a los hijos,Sí,No,Copiar el proyecto en uno nuevo
3,M,ARTIFICE DE GNU/LINUX,Se permite la distribución y la modificación,NS/NC,Sí,Sí,CREATIVE COMMONS,No me importaría siempre y cuando se reconozca mi autoría.,Eclipse,Derechos reservados,Derechos no reservados,Copyleft,NS/NC,NS/NC,Sí,No,NS/NC
3,M,Creador de GNU,"Codigo abierto, puede ser modificad por cualquier persona.",NS/NC,Sí,No,No lo sé,NS/NC,"Eclipse, Telegram",Derechos de autor,¿Existe?,NS/NC,NS/NC,NS/NC,No,No,Clonar un proyecto
3,M,Un hombre que cogió la base dey creo GNU/LINUX.,Que no depende de los creadores de placas por ejemplo que hacen lo que quieren.,No,Sí,Sí,SO libre por ejemplo. Debian.,Si ayuda a los demás sí.,Eclipse,Permite que alguien no se adjudique de un trabajo que no es de él.,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,"Supongo que coger la base de un proyecto para partir de ahí, y luego pasarselo a otra persona."
2,F,NS/NC,NS/NC,NS/NC,NS/NC,Sí,La licencia de microsoft,NS/NC,"Google Chrome, Microsoft Office, Eclipse",La copia del código de un trabajo que hayas hecho.,NS/NC,NS/NC,20 años,NS/NC,No,No,NS/NC
2,M,NS/NC,NS/NC,NS/NC,No,No,NS/NC,NS/NC,"Google Chrome, uTorrent",Es la marca registrada que tienes sobre algo y tu derecho sobre ella.,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
2,M,NS/NC,NS/NC,Sí,No,No,NS/NC,NS/NC,Mozilla Firefox,Lucrarse a costa del trabajo de otra persona. ,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
1,F,NS/NC,NS/NC,NS/NC,Sí,NS/NC,NS/NC,NS/NC,"Google Chrome, Microsoft Office.",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,NS/NC
1,F,NS/NC,Que cualquier usuario puede acceder de forma gratuita a ese programa o sistema.,Sí,Sí,No,NS/NC,NS/NC,,"Coiar los derechos, copiar el formato de algo ya creado por otra persona.",NS/NC,NS/NC,Para siempre,NS/NC,Sí,No,NS/NC
1,F,NS/NC,El código puede ser visto por otros usuarios.,Sí,Sí,No,NS/NC,NS/NC,Eclipse,"Es derecho que tienes de un proyecto, aplicación, etc.",NS/NC,Copyright,NS/NC,NS/NC,Sí,No,NS/NC
1,M,NS/NC,NS/NC,No,NS/NC,No,NS/NC,No,"uTorrent, Telegram",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,No,No,NS/NC
2,M,NS/NC,NS/NC,No,No,No,NS/NC,NS/NC,"uTorrent, Eclipse",Los derechos de autor sobre una obra,NS/NC,Copyleft,NS/NC,NS/NC,No,No,NS/NC
2,F,Uno de los principales desarrolladores y promotores del software libre.,Se trata de un software cuyo código es libremente accesible.,NS/NC,Sí,No,NS/NC,Siempre que sirviera para yudar a los demás y no afecte a mi empleo/trabajo como profesional. ,"Google Chrome, Eclipse, Telegram",Es la licencia que hace que todo trabajo tenga un autor reconocido,NS/NC,Copyleft,70 años,Puede usarse sin pagar derechos de autor.,Sí,No,NS/NC
2,M,NS/NC,Es de código abierto,No,Sí,Sí,"SPL, WTFPL, MIT,Apache,GPL.",NS/NC,"Google Chrome, Eclipse, Telegram, uTorrent, Mozilla Firefox.",NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Sí,Sí,Duplicar un repertorio a una cuenta propia para trabajar con él. Da la posibilidad de hacer Pull Request.
1,M,NS/NC,Que puedes acceder al código de una forma más abierta y modificarlo a tu antojo.,NS/NC,Sí,Sí,Mozilla firefox,"Si, para compartir mi obra con mas gente sabiendo que es de mi autoría.","Mozilla Firefox, Telegram, Eclipse",Es un mecanismo para proteger la autoría de tu obra.,NS/NC,Copyleft,NS/NC,NS/NC,No,No,NS/NC
1,M,NS/NC,Es aquel por el que no es necesario pagar ninguna tarifa por su uso.,Sí,Sí,No,NS/NC,Sí,"uTorrent, Eclipse, Mozilla Firefox.",Son los derechos reservados a un producto o aplicación,NS/NC,NS/NC,NS/NC,NS/NC,No,No,No lo se.
1,M,El impulsor del software libre.,No. Sim embargo su licencia puede ser compartida si se reconoce el crédito del autor.,NS/NC,Sí,Sí,"Cretive Commons, copyright, copyleft...","Sí, creo que puede ser de utilidad general y provecho de todos.","uTorrent, Eclipse, Mozilla Firefox, Telegram.",Derechos de autor y pago del contenido.,NS/NC,Copyleft,NS/NC,Pasa al uso libre.,Sí,No,NS/NC
3,M,Creador de Linux,Cualquier usuario puede acceder a ese código para su uso y edición.,Sí,No,No,NS/NC,Si mi intención es realizar software sí. Si pretendo patentar el producto No.,"uTorrent, Telegram, Eclipse.",Derechos de autor para protegerla copia de un producto.,No existe.,Copyright,NS/NC,Pasa a propiedad pública,Sí,Sí,Crear un proceso nuevo que es una copia del proceso actual.
3,F,"Un pirao que defiende el software libre, va descalzo y es un amo.",Codigo abierto.,Si y no,Sí,No,NS/NC,NS/NC,Telegram,Los derechos que tiene alguien sobre algo.,NS/NC,NS/NC,NS/NC,NS/NC,Sí,No,Duplicar un proyecto.
1,M,El padre (fundador del movimiento) del software libre.,"Libertad de copiar, modificar el código, crear tus propias versiones y colaborar con la comunidad.",NS/NC,Sí,Sí,GPL,"No , porque no protege el sentido de la libertad cultural informática en la misma medida de la licencia GPL.","Eclipse, Telegram, Mozilla Firefox.",Derechos de autor a cobrar por su obra,"Se reconoce al autor, pero se permite que el contenido de su obra sea adquirido por cualquiera para su uso, estudio, modificación..",NS/NC,60 años,Cualquiera puede usarla libremente.,Sí,No,Una rama de un proyecto (una versión de un mismo proyecto)
Erasmus,M,The man that founded the open source OS linux.,NS/NC,Sí,No,Sí,Apache,"Yes, I have an account on Githun and my code is open for my small projects, but not with the code i work.",Telegram,"The copyright is the right for the owner of the creation to defend, reproduce and sell his creation.",NS/NC,NS/NC,70 años in EEUU,NS/NC,Sí,Sí,Is a creation of a new branch of the original project.
